Rank,Address,Quantity,Percentage,Value
1,Binance: Hot Wallet 20,109661.164,0.1812581223167914,199970422.39
2,Binance: Hot Wallet 6,59848.087960864505,0.09892245944094182,109134783.84
3,BSC: Token Hub,53192.41079433128,0.08792134015724941,96997956.86
4,Ethereum: ETH Token,30989.85775446843,0.05122290538006148,56510935.31
5,Venus: vETH Token,30427.01890792959,0.05029259323700801,55484581.79
6,0x34ea4138580435b5a521e460035edb19df1938c1,21998.00020370208,0.036360330915760054,40114013.31
7,Gate.io,17145.068673356924,0.028338956485316147,31264547.08
8,0xf89d7b9c864f589bbf53a82105107622b35eaa40,9913.78095771571,0.016386414806389537,18078076.99
9,0x21d45650db732ce5df77685d6021d7d5d1da807f,7368.788329115629,0.01217981542021007,13437206.58
10,Binance: Hot Wallet 7,6691.821889782,0.011060862627906155,12202737.97
11,0x7d05c84581f0c41ad80ddf677a510360bae09a5a,6327.861690322168,0.010459275521351879,11539045.63
12,0xd4dca84e1808da3354924cd243c66828cf775470,5535.425493242105,0.009149463625331962,10094014.45
13,0xdca6951b82e82af6aab4bb9e90ca00f5760370e1,5000.0,0.008264462810042368,9117650.0
14,0x5bf6941f029424674bb93a43b79fc46bf4a67c21,4940.161836372109,0.00816555675445758,9008533.31
15,0xa5abfb56a78d2bd4689b25b8a77fd49bb0675874,4198.3388464590635,0.006939403052103421,7655796.84
16,0xa949696cfdf479d224df4f95f0c3c2bd7230ccbf,4000.717193814954,0.00661275569235615,7295427.82
17,0x174ca62427d18b317b4226342db9e309c0fbd841,3749.999791,0.006198346762077231,6838237.12
18,0x6db133e840376555a5ad5c1d7616872ef57e7f13,3642.6957104375,0.006020984645442316,6642564.91
19,0x74e4716e431f45807dcf19f284c7aa99f18a4fbc,3626.7046165337456,0.0059945530852704215,6613404.67
20,0x455a281d508b4e34d55b31ac2e4579bd9b77ca8e,3389.6675361261036,0.0056027562581444255,6181160.44
21,0x6216e04cd40db2c6fbed64f1b5830a98d3a91740,3097.650400546915,0.0051200833067665645,5648658.43
22,0xd171b26e4484402de70e3ea256be5a2630d7e88d,2804.2027374360623,0.0046350458470718675,5113547.82
23,Multichain: anyETH Token,2749.6461879146595,0.004544869732159095,5014062.31
24,0x2976bd3774622367ce7a575d28201480e640966f,2461.677139657292,0.004068887834205832,4488942.11
25,0x09cdff26536bcfd97e14fb06880b21b7bb9e729a,2005.7811046861887,0.0033153406689529407,3657602.02
26,TranchessV2: ETH Fund,1678.3609321521947,0.002774150301119971,3060541.51
27,0x63b30de1a998e9e64fd58a21f68d323b9bcd8f85,1613.7804718079412,0.002667405738565871,2942777.1
28,PancakeSwap V2: ETH-USDC,1578.4146823369895,0.0026089498881997773,2878286.53
29,0xbff4a34a4644a113e8200d7f1d79b3555f723afe,1522.7194833989238,0.0025168917081354663,2776724.66
30,0xfb72d7c0f1643c96c197a98e5f36ebcf7597d0e3,1396.9023783214532,0.002308929550979477,2547293.39
31,0xa22e726e3d0ad73df1982e15e3223effda0dade0,1334.0,0.0022049586777193038,2432589.02
32,PancakeSwap V2: ETH-EMP 4,1295.3128586566572,0.002141012989547522,2362041.86
33,0xfa500178de024bf43cfa69b7e636a28ab68f2741,1262.2640390091608,0.0020863868413690157,2301776.34
34,0xdfc7127593c8af1a17146893f10e08528f4c2aa7,1227.9903028159988,0.0020297360377430976,2239277.16
35,0x1123e75b71019962cd4d21b0f3018a6412edb63c,1184.577688058826,0.0019579796497136274,2160112.95
36,0xd5a6d060606006b6da47a97bfb3832a9eb2fdf57,1115.503156967724,0.0018438068710489217,2034153.47
37,0x0639556f03714a74a5feeaf5736a4a64ff70d206,1096.96877050824,0.0018131715215286498,2000355.46
38,MaskEX 3,1002.843394964262,0.0016575923883957544,1828715.02
39,0x539e0ebfffd39e54a0f7e5f8fec40ade7933a664,910.5388290181996,0.0015050228579040874,1660394.87
40,0x7389aaf2e32872cabd766d0ceb384220e8f2a590,904.6504971464115,0.0014952900779505714,1649657.32
41,0x8a420aaca0c92e3f97cdcfdd852e01ac5b609452,866.2485136578608,0.0014318157250759738,1579630.15
42,0x477b8d5ef7c2c42db84deb555419cd817c336b6f,838.7347911550353,0.0013863384977978882,1529458.05
43,0x379044e32f5a162233e82de19da852255d0951b8,828.175109438925,0.0013688844784321527,1510202.16
44,0x66a2c48d0efc8fdd5376a629ef83f2359c0fccc9,802.0,0.0013256198347307959,1462471.06
45,0x40043df7e1bc448e48aff883f2255a52d419b178,801.0,0.0013239669421687872,1460647.53
46,0xbbe813a31ecc6f6a151d645151a205c9eac4262c,750.0,0.001239669421506355,1367647.5
47,0xaa1b1e1f251610ae10e4d553b05c662e60992eed,689.0253538798928,0.001138884882463331,1256458.4
48,0x72255d0472f2955511ed32975ae7122fc6891e73,682.4154456109603,0.0011279594142500544,1244405.04
49,Binance: wBETH Token,678.8732513131755,0.001122104547642057,1237945.74
50,0xe0c352c56af65772ac7c9ab45b858cb43d22f28f,667.7130022625245,0.0011036578549960738,1217594.69
51,0x407fb6b2ac60e5882ede4aa7cc0c5f848eb0bdb1,636.5168281609888,0.0010520939308605241,1160707.53
52,0x9e800547e39de062ca967759c0ebabf4e661944c,633.051753,0.0010463665339001252,1154388.86
53,0xc9df4ae113fa7cb67ce1779cb1560d1f43c2d373,630.8205585043527,0.0010426786091138757,1150320.21
54,0x18a15bf2aa1e514dc660cc4b08d05f9f6f0fdc4e,627.1519522883907,0.001036614797186574,1143630.4
55,0x336be3e5ea94b1395b7d3ac305ad286a45a179c1,620.4717040904222,0.0010255730646277815,1131448.77
